entity,probability,avg_position,rrf_score,run_count,sentiment
ActiveCampaign,100.0,1.0,100.0,8,positive
Brevo,100.0,2.12,98.19,8,positive
HubSpot,100.0,5.25,93.53,8,positive
Klaviyo,100.0,6.38,91.94,8,positive
MailerLite,100.0,8.25,89.42,8,positive
Omnisend,100.0,9.88,87.34,8,positive
Sendinblue,100.0,11.12,85.82,8,positive
Mailchimp,87.5,7.57,79.02,7,positive
GetResponse,75.0,3.5,72.05,6,positive
Marketing Hub,62.5,9.0,55.29,5,positive
Drip,37.5,3.0,36.31,3,positive
For Advanced Automation,25.0,4.5,23.64,2,positive
For Beginners,25.0,5.5,23.28,2,positive
Around Functionality,12.5,2.0,12.3,1,positive
Cold Email Outreach,12.5,3.0,12.1,1,positive
Conscious Users,12.5,4.0,11.91,1,positive
Its Marketing Hub,12.5,5.0,11.73,1,positive
For Sales,12.5,6.0,11.55,1,positive
For Small Businesses,12.5,7.0,11.38,1,positive
Zoho,12.5,12.0,10.59,1,neutral
Top Contenders,12.5,12.0,10.59,1,positive
One Solutions,12.5,12.0,10.59,1,positive
Zoho Campaigns,12.5,13.0,10.45,1,neutral
Power Users,12.5,13.0,10.45,1,positive
Small Businesses,12.5,15.0,10.17,1,positive
